"ALP10,ALASAAD,,218,SYP,""1,735,766.00"",""322,830.00"",""829,187.00"",0,""2,887,783.00"",0,""2,887,783.00"",Detail",report_from_date,report_to_date
"DXB8,UNITED TOURIST MANAGEMENT LLC,,DXB0007,USD,0,0,0,0,0,0,0,Detail",,
"DXB80,ajnihat alwalid travel and tourism,,80,AED,""2,344.00"",648,""2,970.00"",0,""5,962.00"",0,""5,962.00"",Detail",,
"DXB81,sunchaser travel,,dxb00100,AED,""4,936.00"",""2,963.00"",""9,722.00"",0,""17,621.00"",0,""17,621.00"",Detail",,
"DXB81,sunchaser travel,,dxb00100,USD,0,0,0,0,0,0,0,Detail",,
"DXB83,tariq alkaiser travel,,dxb00101,AED,""4,361.00"",""1,293.00"",""5,555.00"",0,""11,209.00"",0,""11,209.00"",Detail",,
"DXB84,AL MUTAMYZON TRAVEL AND TOURISM,,DXB00500,AED,""1,050.00"",229,""1,100.00"",0,""2,379.00"",0,""2,379.00"",Detail",,
"DXB9,ASSIL TRAVEL & TOURISM LLC,,DXB0008,AED,""25,588.00"",""11,696.00"",""41,499.00"",0,""79,516.00"",983,""78,533.00"",Detail",,
"DXB9,ASSIL TRAVEL & TOURISM LLC,,DXB0008,USD,0,0,0,0,0,0,0,Detail",,
"GSA10,DOHA OFFICE TRAVEL,,9744416,QAR,""136,804.53"",""29,082.25"",""65,138.68"",0,""265,590.23"",""35,487.78"",""230,102.45"",Detail",,
"GSA10,DOHA OFFICE TRAVEL,,9744416,USD,0,0,0,0,0,0,0,Detail",,
"GSA15,alshahin travel & tourism,,9665310,SAR,""366,817.00"",""100,044.00"",""235,663.00"",0,""739,049.00"",""39,938.00"",""699,111.00"",Detail",,
"GSA15,alshahin travel & tourism,,9665310,USD,0,0,0,0,0,0,0,Detail",,
"GSA18,SARIGOL TYRIZM -,,901234,TRL,""155,560.00"",""28,261.00"",""123,877.00"",0,""780,312.00"",""472,614.00"",""307,698.00"",Detail",,
"GSA19,ISTEHKAK FOR TOURISM SERVICES,,4199871,LYD,""104,267.00"",""1,316.00"",""27,759.00"",0,""133,342.00"",0,""133,342.00"",Detail",,
"GSA2,RB GSA ALGHAITH AND ALMOUSA TA,,971412,AED,""150,577.00"",""52,640.00"",""197,796.00"",0,""422,074.00"",""22,441.00"",""399,633.00"",Detail",,
"GSA2,RB GSA ALGHAITH AND ALMOUSA TA,,971412,USD,0,0,0,0,0,0,0,Detail",,
"GSA3,Orient Travels,,971611,AED,""87,425.00"",""42,294.00"",""155,830.00"",0,""320,629.00"",""40,230.00"",""280,399.00"",Detail",,
"GSA3,Orient Travels,,971611,USD,0,0,0,0,0,0,0,Detail",,
"GSA7,SALEM TRAVEL AGENCY,971213,971213,AED,""91,243.00"",""36,485.00"",""132,323.00"",0,""281,911.00"",""25,148.00"",""256,763.00"",Detail",,
"GSA7,SALEM TRAVEL AGENCY,971213,971213,USD,0,0,0,0,0,0,0,Detail",,
"GSA8,ANTA Travel & Tourism,,971670,AED,""217,778.00"",""101,920.00"",""376,605.00"",0,""834,432.00"",""147,630.00"",""686,802.00"",Detail",,
"GSA8,ANTA Travel & Tourism,,971670,USD,0,0,0,0,0,0,0,Detail",,
"IST1,road makers travel tourism,,ist00,TRL,""246,331.00"",""52,295.00"",""151,625.00"",0,""450,251.00"",0,""450,251.00"",Detail",,
"IST10,nusuk,,ist0010,TRL,""230,704.00"",""46,853.00"",""136,666.00"",0,""414,223.00"",0,""414,223.00"",Detail",,
"IST11,art of travel,,ist 0011,TRL,""1,169,932.00"",""233,656.00"",""690,974.00"",0,""2,094,562.00"",0,""2,094,562.00"",Detail",,
"IST12,airshad,,ist0012,TRL,""569,852.00"",""123,413.00"",""363,233.00"",0,""1,056,498.00"",0,""1,056,498.00"",Detail",,
"IST12,airshad,,ist0012,USD,0,0,0,0,0,0,0,Detail",,
"IST14,Nevada Turizm,,IST0014,TRL,""442,868.00"",""89,456.00"",""260,527.00"",0,""792,851.00"",0,""792,851.00"",Detail",,
"IST15,Tuba,,IST0015,TRL,""254,400.00"",""54,657.00"",""160,838.00"",0,""469,895.00"",0,""469,895.00"",Detail",,
"IST16,top torch,,ist0021,TRL,""65,035.00"",""14,598.00"",""42,429.00"",0,""122,062.00"",0,""122,062.00"",Detail",,
"IST17,bon voyage,,ist0021,TRL,""145,929.00"",""30,916.00"",""90,861.00"",0,""267,706.00"",0,""267,706.00"",Detail",,
"IST18,TIO elsultan travel,,IST0018,TRL,""85,159.00"",""16,318.00"",""48,183.00"",0,""149,660.00"",0,""149,660.00"",Detail",,
"IST2,esb travel,,ist002,TRL,""30,794.00"",""7,071.00"",""21,297.00"",0,""59,162.00"",0,""59,162.00"",Detail",,
"IST20,abu rass,,ist0022,TRL,""14,056.00"",""4,188.00"",""12,172.00"",0,""30,416.00"",0,""30,416.00"",Detail",,
"IST3,moto tour,,ist003,TRL,""149,613.00"",""35,305.00"",""115,910.00"",0,""300,828.00"",0,""300,828.00"",Detail",,
"IST4,ila tourism,,ist004,TRL,""23,447.00"",""5,149.00"",""17,645.00"",0,""46,241.00"",0,""46,241.00"",Detail",,
"IST5,hamdan group,,ist005,TRL,""405,495.00"",""85,958.00"",""252,994.00"",0,""744,447.00"",0,""744,447.00"",Detail",,
"IST5,hamdan group,,ist005,USD,0,0,0,0,0,0,0,Detail",,
"IST6,emir istanbul,,ist006,TRL,""849,175.00"",""199,664.00"",""595,704.00"",0,""1,644,543.00"",0,""1,644,543.00"",Detail",,
"IST7,experts,,ist007,TRL,""499,618.00"",""107,766.00"",""317,814.00"",0,""925,198.00"",0,""925,198.00"",Detail",,
"IST8,kral,,ist008,TRL,""187,786.00"",""37,313.00"",""107,625.00"",0,""332,724.00"",0,""332,724.00"",Detail",,
"IST9,uranus,,ist009,TRL,""474,249.00"",""100,345.00"",""294,127.00"",0,""868,721.00"",0,""868,721.00"",Detail",,
"KAC1,KAMESHLI SALES OFFICE,9635216,9635216,SYP,""837,477.00"",""833,388.00"",""2,321,726.00"",0,""28,346,268.00"",""27,504,587.00"",""841,681.00"",Detail",,
"KAC1,KAMESHLI SALES OFFICE,9635216,9635216,USD,423,97.52,210,0,730.52,0,730.52,Detail",,
"KWI1,KUWAIT SALES OFFICE,,9652414,KWD,""1,810.02"",422.42,""1,446.59"",0,""5,848.19"",""2,169.17"",""3,679.02"",Detail",,
"KWI1,KUWAIT SALES OFFICE,,9652414,USD,0,0,0,0,0,0,0,Detail",,
"KWI10,ALKHALIJIA,,208,KWD,""1,987.90"",428.005,""1,726.43"",0,""4,142.33"",0,""4,142.33"",Detail",,
"KWI10,ALKHALIJIA,,208,USD,0,0,0,0,0,0,0,Detail",,
"KWI11,ALSAQR ALOLA,,209,KWD,876.255,242.75,829.11,0,""1,948.12"",0,""1,948.12"",Detail",,
"KWI12,ALATHEER,,210,KWD,60.8,12.02,48.2,0,121.02,0,121.02,Detail",,
"KWI13,ALMALEK ALDAARI,,211,KWD,""13,427.05"",""3,034.20"",""11,151.14"",0,""27,612.39"",0,""27,612.39"",Detail",,
"KWI13,ALMALEK ALDAARI,,211,USD,0,0,0,0,0,0,0,Detail",,
"KWI14,ALFANAR,,212,KWD,109.095,21.255,79.54,0,209.89,0,209.89,Detail",,
"KWI15,FEMEX,,213,KWD,""4,573.37"",929.68,""3,933.92"",0,""9,436.96"",0,""9,436.96"",Detail",,
"KWI15,FEMEX,,213,USD,0,0,0,0,0,0,0,Detail",,
"KWI28,EJAZA CLUB,,225,KWD,""9,765.59"",""2,187.10"",""8,197.75"",0,""20,150.43"",0,""20,150.43"",Detail",,
"KWI28,EJAZA CLUB,,225,USD,0,0,0,0,0,0,0,Detail",,
"KWI29,ALSAYED KWI,,232,KWD,""5,017.43"",""1,063.63"",""4,114.23"",0,""10,195.29"",0,""10,195.29"",Detail",,
"KWI29,ALSAYED KWI,,232,USD,0,0,0,0,0,0,0,Detail",,
"KWI3,ALAJWA,,201,KWD,329.17,70.72,237.01,0,636.895,0,636.895,Detail",,
"KWI30,QGO,,233,KWD,108.76,21.315,71.3,0,201.37,0,201.37,Detail",,
"KWI31,AZYAN TRAVEL & TOURISM,,kwi0020,KWD,""1,214.55"",242.63,676.46,0,""2,133.64"",0,""2,133.64"",Detail",,
"KWI35,Al Jazeera international travel & tourism,,35,KWD,""3,618.85"",759.47,""2,964.81"",0,""7,343.13"",0,""7,343.13"",Detail",,
"KWI7,ALSSAFA,,205,KWD,795.4,176.73,669.8,0,""1,641.93"",0,""1,641.93"",Detail",,
"LTK1,LATAKIA SALES OFFICE,,9634111,SYP,""23,759,888.00"",""3,495,140.00"",""12,233,908.00"",0,""59,208,733.00"",""19,719,934.00"",""39,488,799.00"",Detail",,
"LTK1,LATAKIA SALES OFFICE,,9634111,USD,110.6,107.37,405,0,622.97,0,622.97,Detail",,
"LTK13,altabba usd,,ltk 00500,USD,638.25,253.22,870,0,""1,761.47"",0,""1,761.47"",Detail",,
"LTK3,ALTABBA,,145,SYP,""10,337,203.00"",""3,664,344.00"",""13,267,000.00"",0,""27,268,547.00"",0,""27,268,547.00"",Detail",,
"LTK3,ALTABBA,,145,USD,0,0,0,0,0,0,0,Detail",,
"LTK5,SKYTRAVEL,,ltk00257,SYP,""87,265,564.00"",""23,498,722.00"",""78,109,460.00"",0,""188,873,746.00"",0,""188,873,746.00"",Detail",,
"LTK5,SKYTRAVEL,,ltk00257,USD,0,0,0,0,0,0,0,Detail",,
"LTK6,ZOUHAL TRAVEL,,ltk0063,SYP,""21,730,018.00"",""4,269,317.00"",""12,935,324.00"",0,""38,934,659.00"",0,""38,934,659.00"",Detail",,
"LTK6,ZOUHAL TRAVEL,,ltk0063,USD,0,0,0,0,0,0,0,Detail",,
"LTK7,JALJOUL TRAVEL & TOURISM,,240,SYP,""4,053,400.00"",""710,779.00"",""2,155,887.00"",0,""6,920,066.00"",0,""6,920,066.00"",Detail",,
"LTK8,APOLLO TRAVEL AND TOURISM,,241,SYP,""3,725,816.00"",""1,371,807.00"",""5,306,800.00"",0,""10,404,423.00"",0,""10,404,423.00"",Detail",,
"QAJ10,ALSHOUFI TRAVEL AND TOURISM FZE,,none,USD,0,0,0,0,0,0,0,Detail",,
"QAJ2,MAJD,,QAJ0002,AED,""33,775.00"",""14,536.00"",""55,970.00"",0,""104,281.00"",0,""104,281.00"",Detail",,
"QAJ2,MAJD,,QAJ0002,USD,0,0,0,0,0,0,0,Detail",,
"QAJ3,UGARIT,,QAJ0003,AED,""13,792.00"",""4,813.00"",""15,756.00"",0,""48,961.00"",""16,328.00"",""32,633.00"",Detail",,
"QAJ3,UGARIT,,QAJ0003,USD,0,0,0,0,0,0,0,Detail",,
"QAJ4,ALTAYAR,,QAJ0004,AED,""1,071.00"",""1,370.00"",""4,391.00"",0,""6,832.00"",0,""6,832.00"",Detail",,
"QAJ4,ALTAYAR,,QAJ0004,USD,0,0,0,0,0,0,0,Detail",,
"QDR1,DARAA SALES OFFICE,,9631510,SYP,""1,088,578.00"",""1,821,771.00"",""3,424,033.00"",0,""25,889,330.00"",""19,554,948.00"",""6,334,382.00"",Detail",,
"QDR1,DARAA SALES OFFICE,,9631510,USD,383,113.77,405,0,901.77,0,901.77,Detail",,
"QDR8,ALMANASEK,,203,SYP,""1,580,984.00"",""317,413.00"",""829,187.00"",0,""2,727,584.00"",0,""2,727,584.00"",Detail",,
"QHM1,HAMA SALES OFFICE,9633315,9633315,SYP,""55,700,499.00"",""7,486,127.00"",""19,237,145.00"",0,""82,423,771.00"",0,""82,423,771.00"",Detail",,
"QHM1,HAMA SALES OFFICE,9633315,9633315,USD,258,60.64,210,0,528.64,0,528.64,Detail",,
"QHM12,ALAWABEEN usd,,QHM0016,USD,""4,660.50"",""1,089.41"",""3,360.00"",0,""9,109.91"",0,""9,109.91"",Detail",,
"QHM13,AL asal usd,,QHM0016,USD,""1,842.25"",423.54,""1,125.00"",0,""3,390.79"",0,""3,390.79"",Detail",,
"QHM3,ALSHAMALI,,197,SYP,""84,135,543.00"",""19,142,173.00"",""52,570,491.00"",0,""155,848,207.00"",0,""155,848,207.00"",Detail",,
"QHM4,ALBAZ,,205,SYP,""48,469,095.00"",""14,302,480.00"",""38,971,816.00"",0,""101,743,391.00"",0,""101,743,391.00"",Detail",,
"QHM4,ALBAZ,,205,USD,0,0,0,0,0,0,0,Detail",,
"QHM5,SAMA ALFARES,,212,SYP,""25,928,688.00"",""7,770,036.00"",""26,202,327.00"",0,""67,416,696.00"",""7,515,645.00"",""59,901,051.00"",Detail",,
"QHM5,SAMA ALFARES,,212,USD,0,0,0,0,0,0,0,Detail",,
"QHM6,ALASAL,,224,SYP,""115,973,029.00"",""25,674,063.00"",""76,948,601.00"",0,""218,595,693.00"",0,""218,595,693.00"",Detail",,
"QHM6,ALASAL,,224,USD,0,0,0,0,0,0,0,Detail",,
"QHM7,ASAL,,236,SYP,""818,132.00"",""305,804.00"",""1,326,700.00"",0,""2,450,636.00"",0,""2,450,636.00"",Detail",,
"QHM8,LABABEDI,,255,SYP,""5,114,760.00"",""1,434,936.00"",""4,809,287.00"",0,""11,358,983.00"",0,""11,358,983.00"",Detail",,
"QHM8,LABABEDI,,255,USD,0,0,0,0,0,0,0,Detail",,
"QHS2,ILIAD,,190,SYP,""3,047,319.00"",""944,388.00"",""2,487,564.00"",0,""6,479,271.00"",0,""6,479,271.00"",Detail",,
"QHS3,ALMOHTARIF,,209,SYP,""40,246,325.00"",""7,952,787.00"",""25,041,462.00"",0,""73,240,574.00"",0,""73,240,574.00"",Detail",,
"QHS3,ALMOHTARIF,,209,USD,0,0,0,0,0,0,0,Detail",,
"QSW1,ALSOUIDAA SALES OFFICE,,9631613,SYP,""-7,736,332.00"",""-2,212,548.00"",""-11,482,229.00"",0,0,""21,431,109.00"",""-21,431,109.00"",Detail",,
"QSW1,ALSOUIDAA SALES OFFICE,,9631613,USD,0,0,0,0,0,0,0,Detail",,
"QSW4,SAMA ALOPHOQ,,173,SYP,""8,364,290.00"",""1,921,503.00"",""5,638,474.00"",0,""15,924,267.00"",0,""15,924,267.00"",Detail",,
"QTR1,TARTOUS SALES OFFICE,,9634310,SYP,""158,710,230.00"",""33,418,749.00"",""73,184,276.00"",0,""279,895,403.00"",""14,582,148.00"",""265,313,255.00"",Detail",,
"QTR1,TARTOUS SALES OFFICE,,9634310,USD,""1,113.00"",245.51,585,0,""1,943.51"",0,""1,943.51"",Detail",,
"SHJ10,Sky Dreams LLC,,shj 0004,AED,""2,051.00"",""1,144.00"",""3,956.00"",0,""7,800.00"",649,""7,151.00"",Detail",,
"SHJ10,Sky Dreams LLC,,shj 0004,USD,0,0,0,0,0,0,0,Detail",,
"SHJ11,Prive Creative Travel FZE,,shj00021,AED,""4,010.00"",630,""3,522.00"",0,""8,162.00"",0,""8,162.00"",Detail",,
"SHJ11,Prive Creative Travel FZE,,shj00021,USD,0,0,0,0,0,0,0,Detail",,
"SHJ12,PERFECT TRAVEL,,shj12,AED,405,137,440,0,982,0,982,Detail",,
"SHJ13,W T TOURISM AND TRAVL,,13,AED,""41,378.00"",""16,948.00"",""64,177.00"",0,""135,952.00"",""16,819.00"",""119,133.00"",Detail",,
"SHJ13,W T TOURISM AND TRAVL,,13,USD,0,0,0,0,0,0,0,Detail",,
"SHJ6,AL FAISAL TRAVEL AGENCY,,SHJ0001,AED,""1,140.00"",""1,133.00"",""6,380.00"",0,""14,189.00"",""7,036.00"",""7,153.00"",Detail",,
"SHJ6,AL FAISAL TRAVEL AGENCY,,SHJ0001,USD,0,0,0,0,0,0,0,Detail",,
"SHJ7,JOELLE,,SHJ0002,AED,""6,164.00"",""3,443.00"",""12,962.00"",0,""28,489.00"",""6,443.00"",""22,046.00"",Detail",,
"SHJ7,JOELLE,,SHJ0002,USD,0,0,0,0,0,0,0,Detail",,
"SHJ8,PETRA,,none,AED,""4,152.00"",917,""3,848.00"",0,""11,210.00"",""2,293.00"",""8,917.00"",Detail",,
"SHJ8,PETRA,,none,USD,0,0,0,0,0,0,0,Detail",,
