"ALP10,ALASAAD,,218,SYP,""1,735,766.00"",""322,830.00"",""829,187.00"",0,""2,887,783.00"",0,""2,887,783.00"",Detail",report_from_date,report_to_date
"DAM156,GOLDEN SKY,,DA149,USD,0,0,0,0,0,0,0,Detail",,
"DAM159,AUNAK,,152,SYP,""8,258,706.00"",""1,102,045.00"",""3,980,100.00"",0,""13,340,851.00"",0,""13,340,851.00"",Detail",,
"DAM159,AUNAK,,152,USD,0,0,0,0,0,0,0,Detail",,
"DAM162,HAWA BAGHDAD,,10,SYP,""13,413,158.00"",""3,102,043.00"",""7,628,524.00"",0,""29,180,430.00"",""5,036,705.00"",""24,143,725.00"",Detail",,
"DAM162,HAWA BAGHDAD,,10,USD,0,0,0,0,0,0,0,Detail",,
"DAM165,AYOUBI,,158,USD,0,0,0,0,0,0,0,Detail",,
"DAM177,FORSAN ALSHAM,,170,SYP,""2,354,892.00"",""629,740.00"",""1,658,375.00"",0,""4,643,007.00"",0,""4,643,007.00"",Detail",,
"DAM18,call center,,8,USD,0,0,0,0,0,0,0,Detail",,
"DAM186,syrian travel &touriisim usd,,200,USD,""78,316.92"",""19,623.69"",""56,313.25"",0,""162,417.42"",""8,163.56"",""154,253.86"",Detail",,
"DAM187,orfali usd,,201,USD,""3,640.94"",""1,130.51"",""3,030.00"",0,""8,062.65"",261.2,""7,801.45"",Detail",,
"DAM188,aldawlyusd,,202,USD,""2,942.33"",778.74,""2,310.00"",0,""7,184.43"",""1,153.36"",""6,031.07"",Detail",,
"DAM189,mawakeb alsharq usd,,203,USD,""3,520.24"",911.02,""2,610.00"",0,""7,041.26"",0,""7,041.26"",Detail",,
"DAM190,syria link usd,,204,USD,""30,722.39"",""7,720.20"",""21,915.00"",0,""62,247.81"",""1,890.22"",""60,357.59"",Detail",,
"DAM192,gilgamesh diamond,,208,SYP,""50,879,603.00"",""13,586,948.00"",""42,620,237.00"",0,""107,086,788.00"",0,""107,086,788.00"",Detail",,
"DAM192,gilgamesh diamond,,208,USD,0,0,0,0,0,0,0,Detail",,
"DAM193,yas usd,,209,USD,""4,574.03"",""1,189.91"",""3,555.00"",0,""9,318.94"",0,""9,318.94"",Detail",,
"DAM194,taj almasa usd,,dam00300,USD,""13,514.48"",""3,154.86"",""8,970.00"",0,""27,397.48"",""1,848.14"",""25,549.34"",Detail",,
"DAM195,shilan usd,,dam00301,USD,""1,283.44"",290.29,750,0,""2,545.39"",221.66,""2,323.73"",Detail",,
"DAM196,advanced usd,,dam00304,USD,""1,695.70"",443.22,""1,200.00"",0,""3,338.92"",0,""3,338.92"",Detail",,
"DAM197,babylon usd,,dam00305,USD,128,28.18,75,0,231.18,0,231.18,Detail",,
"DAM198,aslan usd,,dam0050,USD,""2,528.56"",576.83,""1,680.00"",0,""5,093.23"",307.84,""4,785.39"",Detail",,
"DAM199,jabri,,dam00150,SYP,""62,386,398.00"",""15,679,040.00"",""42,288,568.00"",0,""125,023,658.00"",""4,669,652.00"",""120,354,006.00"",Detail",,
"DAM2,ALHIJAZ OFFICE,9631182,9631182,QAR,685,140.01,273.75,0,""1,098.76"",0,""1,098.76"",Detail",,
"DAM2,ALHIJAZ OFFICE,9631182,9631182,SYP,""1,112,299,887.00"",""283,545,080.00"",""685,415,730.00"",0,""2,081,260,697.00"",0,""2,081,260,697.00"",Detail",,
"DAM2,ALHIJAZ OFFICE,9631182,9631182,USD,""14,125.86"",""3,647.63"",""11,194.93"",0,""28,968.42"",0,""28,968.42"",Detail",,
"DAM200,jabri usd,,dam175,USD,""6,718.16"",""1,843.09"",""5,475.00"",0,""14,036.25"",0,""14,036.25"",Detail",,
"DAM201,alshaheen usd,,dam00301,USD,460.6,160.44,450,0,""1,071.04"",0,""1,071.04"",Detail",,
"DAM202,gilgamish diamond usd,,DAM005,USD,""2,618.21"",612.12,""1,650.00"",0,""4,880.33"",0,""4,880.33"",Detail",,
"DAM203,ALANWAR,,DAM00200,SYP,""3,161,968.00"",""634,826.00"",""1,658,374.00"",0,""5,455,168.00"",0,""5,455,168.00"",Detail",,
"DAM204,ALANWAR usd,,DAM00202,USD,""1,363.30"",285.96,765,0,""2,414.26"",0,""2,414.26"",Detail",,
"DAM207,world link usd,,dam00602,USD,""1,436.98"",338.61,915,0,""2,690.59"",0,""2,690.59"",Detail",,
"DAM210,ALTAHADI TOURS USD,,DAM007,USD,466.6,181.98,585,0,""1,233.58"",0,""1,233.58"",Detail",,
"DAM25,LAYAL TRAVEL,,101,SYP,""124,769,487.00"",""32,188,606.00"",""86,567,175.00"",0,""246,322,283.00"",""2,797,015.00"",""243,525,268.00"",Detail",,
"DAM25,LAYAL TRAVEL,,101,USD,0,0,0,0,0,0,0,Detail",,
"DAM26,MAWAKEB ALSHARQ,,102,SYP,""44,733,552.00"",""15,639,572.00"",""38,971,820.00"",0,""104,315,314.00"",""4,970,370.00"",""99,344,944.00"",Detail",,
"DAM29,TAJ ALSHAM,,105,SYP,""11,278,607.00"",""1,548,370.00"",""3,814,261.00"",0,""34,559,093.00"",""17,917,855.00"",""16,641,238.00"",Detail",,
"DAM29,TAJ ALSHAM,,105,USD,0,0,0,0,0,0,0,Detail",,
"DAM32,ALSHRIAA,,108,SYP,""60,949,367.00"",""13,565,941.00"",""39,966,840.00"",0,""114,482,148.00"",0,""114,482,148.00"",Detail",,
"DAM32,ALSHRIAA,,108,USD,0,0,0,0,0,0,0,Detail",,
"DAM43,SYRIAN TRAVEL & TOURISM AGENCY,,119,SYP,""1,014,945,583.00"",""255,172,059.00"",""696,324,452.00"",0,""2,018,577,356.00"",""52,135,262.00"",""1,966,442,094.00"",Detail",,
"DAM43,SYRIAN TRAVEL & TOURISM AGENCY,,119,USD,0,0,0,0,0,0,0,Detail",,
"DAM44,ALAWABEEN,,120,SYP,""68,852,185.00"",""16,421,331.00"",""42,786,075.00"",0,""128,059,591.00"",0,""128,059,591.00"",Detail",,
"DAM44,ALAWABEEN,,120,USD,0,0,0,0,0,0,0,Detail",,
"DAM48,MOUNTAIN ROSE,,124,SYP,""15,469,983.00"",""4,205,197.00"",""9,286,900.00"",0,""28,962,080.00"",0,""28,962,080.00"",Detail",,
"DAM48,MOUNTAIN ROSE,,124,USD,0,0,0,0,0,0,0,Detail",,
"DAM50,URJUWAN,,125,SYP,""530,680.00"",0,0,0,""530,680.00"",0,""530,680.00"",Detail",,
"DAM51,ALMUDIFAH,,126,SYP,""10,794,692.00"",""2,663,127.00"",""8,126,039.00"",0,""25,564,953.00"",""3,981,095.00"",""21,583,858.00"",Detail",,
"DAM54,SUN LIGHT,,130,SYP,""30,221,115.00"",""5,608,511.00"",""15,257,051.00"",0,""51,086,677.00"",0,""51,086,677.00"",Detail",,
"DAM54,SUN LIGHT,,130,USD,0,0,0,0,0,0,0,Detail",,
"DAM56,ALSAYED,,132,SYP,""13,289,110.00"",""2,351,022.00"",""4,975,123.00"",0,""20,615,255.00"",0,""20,615,255.00"",Detail",,
"DAM57,ALAGHAR,,133,SYP,""48,745,935.00"",""13,517,073.00"",""36,650,096.00"",0,""98,913,104.00"",0,""98,913,104.00"",Detail",,
"DAM57,ALAGHAR,,133,USD,0,0,0,0,0,0,0,Detail",,
"DAM63,ALSHAHEEN,,141,SYP,""21,729,355.00"",""4,882,475.00"",""12,437,808.00"",0,""39,049,638.00"",0,""39,049,638.00"",Detail",,
"DAM63,ALSHAHEEN,,141,USD,0,0,0,0,0,0,0,Detail",,
"DAM67,ALDAWLY,,147,SYP,""166,235,377.00"",""39,620,667.00"",""90,121,622.00"",0,""352,977,884.00"",""57,000,218.00"",""295,977,666.00"",Detail",,
"DAM67,ALDAWLY,,147,USD,0,0,0,0,0,0,0,Detail",,
"DAM68,GILGAMISH,,176,SYP,""21,218,132.00"",""5,601,546.00"",""18,076,288.00"",0,""49,537,425.00"",""4,641,459.00"",""44,895,966.00"",Detail",,
"DAM68,GILGAMISH,,176,USD,0,0,0,0,0,0,0,Detail",,
"DAM69,ORFALI,,151,SYP,""13,659,038.00"",""4,130,458.00"",""12,603,649.00"",0,""30,393,145.00"",0,""30,393,145.00"",Detail",,
"DAM69,ORFALI,,151,USD,0,0,0,0,0,0,0,Detail",,
"DAM7,AIRPORT SALES OFFICE,,9631145,AED,682,90,225,0,997,0,997,Detail",,
"DAM7,AIRPORT SALES OFFICE,,9631145,QAR,0,1.02,0,0,1.02,0,1.02,Detail",,
"DAM7,AIRPORT SALES OFFICE,,9631145,SYP,""157,646,444.00"",""29,402,654.00"",""77,498,613.00"",0,""264,547,711.00"",0,""264,547,711.00"",Detail",,
"DAM7,AIRPORT SALES OFFICE,,9631145,USD,""10,096.75"",""2,005.20"",""5,520.00"",0,""17,621.95"",0,""17,621.95"",Detail",,
"DAM70,MARROTA,,153,SYP,""174,898,174.00"",""41,644,208.00"",""105,118,868.00"",0,""321,661,250.00"",0,""321,661,250.00"",Detail",,
"DAM70,MARROTA,,153,USD,0,0,0,0,0,0,0,Detail",,
"DAM73,ALRASSAM,,156,SYP,""57,055,285.00"",""16,474,508.00"",""49,751,255.00"",0,""125,663,469.00"",""2,382,421.00"",""123,281,048.00"",Detail",,
"DAM73,ALRASSAM,,156,USD,0,0,0,0,0,0,0,Detail",,
"DAM77,SKY SYRIA,,161,SYP,""3,690,437.00"",""1,200,441.00"",""3,648,426.00"",0,""8,539,304.00"",0,""8,539,304.00"",Detail",,
"DAM8,RESERVATION SECTION,,1,USD,0,0,0,0,0,0,0,Detail",,
"DAM82,ALMARSA,,163,USD,0,0,0,0,0,0,0,Detail",,
