"Departure Date

","Flight Number
","Segment
","Booked Load
(Adult/Infant)","Go Shows
",No Recs.,No Shows,"Flown Load
",report_from_date,report_to_date
08/23/2025,RB522,DOH/DAM,40 \ 4,0.0,0.0,0.0,44,2025-08-01,
08/23/2025,RB342,KWI/DAM,58 \ 2,0.0,0.0,0.0,60,2025-08-01,
08/23/2025,RB502,SHJ/DAM,13 \ 1,0.0,0.0,0.0,14,2025-08-01,
08/23/2025,RB445,DAM/IST,88 \ 3,0.0,0.0,1.0,90,2025-08-01,
08/23/2025,RB446,IST/DAM,45 \ 0,0.0,0.0,0.0,45,2025-08-01,
08/24/2025,RB505,DAM/SHJ,138 \ 4,0.0,2.0,0.0,140,2025-08-01,
08/24/2025,RB381,DAM/JED,126 \ 1,0.0,0.0,6.0,121,2025-08-01,
08/24/2025,RB515,DAM/DXB,156 \ 5,0.0,0.0,1.0,160,2025-08-01,
08/24/2025,RB506,SHJ/DAM,46 \ 1,0.0,0.0,6.0,41,2025-08-01,
08/24/2025,RB382,JED/DAM,23 \ 2,0.0,0.0,1.0,24,2025-08-01,
08/24/2025,RB516,DXB/DAM,23 \ 0,0.0,0.0,1.0,22,2025-08-01,
08/24/2025,RB443,DAM/IST,120 \ 1,0.0,0.0,1.0,120,2025-08-01,
08/24/2025,RB501,DAM/SHJ,151 \ 7,0.0,1.0,0.0,157,2025-08-01,
08/24/2025,RB444,IST/DAM,76 \ 2,0.0,0.0,0.0,78,2025-08-01,
08/24/2025,RB502,SHJ/DAM,11 \ 1,0.0,0.0,2.0,10,2025-08-01,
08/25/2025,RB389,DAM/RUH,155 \ 3,0.0,0.0,1.0,157,2025-08-01,
08/25/2025,RB443,DAM/IST,133 \ 1,0.0,0.0,5.0,129,2025-08-01,
08/25/2025,RB515,DAM/DXB,147 \ 6,0.0,0.0,8.0,145,2025-08-01,
08/25/2025,RB390,RUH/DAM,41 \ 0,0.0,0.0,0.0,38,2025-08-01,
08/25/2025,RB444,IST/ALP,97 \ 7,0.0,0.0,1.0,103,2025-08-01,
08/25/2025,RB516,DXB/DAM,61 \ 1,0.0,0.0,2.0,60,2025-08-01,
08/25/2025,RB517,ALP/DXB,149 \ 8,0.0,0.0,1.0,156,2025-08-01,
08/25/2025,RB501,DAM/SHJ,155 \ 4,0.0,0.0,0.0,159,2025-08-01,
08/25/2025,RB518,DXB/ALP,52 \ 0,0.0,0.0,1.0,51,2025-08-01,
08/25/2025,RB521,DAM/DOH,160 \ 4,0.0,1.0,0.0,163,2025-08-01,
08/25/2025,RB502,SHJ/DAM,36 \ 2,0.0,0.0,3.0,35,2025-08-01,
08/25/2025,RB522,DOH/DAM,38 \ 1,0.0,0.0,0.0,38,2025-08-01,
08/25/2025,RB445,ALP/IST,103 \ 4,0.0,0.0,3.0,104,2025-08-01,
08/25/2025,RB446,IST/DAM,71 \ 0,0.0,0.0,2.0,69,2025-08-01,
