agent_code,agent_name,current_sale_usd,ytd_sale_month_usd,ytd_sale_usd,report_from_date,report_to_date
LTK5,SKYTRAVELUSD,18032.0,18032.0,119215.34,2025-08-01,2025-08-25
DAM54,SUN LIGHT,5390.59,5390.59,19097.6,2025-08-01,2025-08-25
DXB71,SURIANA TOURS & TRAVEL LLC,12284.56,12284.56,86241.34,2025-08-01,2025-08-25
DXB62,SWEN TOURISM,4747.81,4747.81,35038.93,2025-08-01,2025-08-25
DAM95,SYRIA LINK,42706.58,42706.58,370967.41,2025-08-01,2025-08-25
DAM43,SYRIAN TRAVEL & TOURISM AGENCY,203989.8,203989.8,1213206.3,2025-08-01,2025-08-25
SHJ10,Sky Dreams LLC,2151.81,2151.81,78428.5,2025-08-01,2025-08-25
LTK14,Sky travel,1887.59,1887.59,1887.59,2025-08-01,2025-08-25
DAM122,TAJ ALMASA,62218.52,62218.52,321331.62,2025-08-01,2025-08-25
DAM29,TAJ ALSHAM,3326.62,3326.62,34756.32,2025-08-01,2025-08-25
DXB39,TAJ ALSHAM FOR TOURISM LLC DXB,3800.03,3800.03,112535.07,2025-08-01,2025-08-25
AUH6,TAJWAL,505.06,505.06,59320.39,2025-08-01,2025-08-25
IST18,TIO elsultan travel,3726.97,3726.97,3726.97,2025-08-01,2025-08-25
DXB25,TOMEH,7082.72,7082.72,90187.01,2025-08-01,2025-08-25
DXB12,TRANSTOUR,13242.96,13242.96,126268.99,2025-08-01,2025-08-25
IST15,Tuba,12241.42,12241.42,27755.28,2025-08-01,2025-08-25
QAJ3,UGARIT,13855.92,13855.92,419571.26,2025-08-01,2025-08-25
DXB8,UNITED TOURIST MANAGEMENT LLC,15616.38,15616.38,247183.48,2025-08-01,2025-08-25
DAM50,URJUWAN,48.0,48.0,2540.61,2025-08-01,2025-08-25
SHJ13,W T TOURISM AND TRAVL,38735.18,38735.18,729375.73,2025-08-01,2025-08-25
DXB37,WAHET ALALMAS TRAVEL AGENCY,735.57,735.57,735.57,2025-08-01,2025-08-25
DXB33,WL T TRAVEL AND TOURISM,57934.24,57934.24,278069.27,2025-08-01,2025-08-25
DXB79,YARA DEEB TRAVEL AGENCY LLC,9218.87,9218.87,191081.56,2025-08-01,2025-08-25
DAM102,YAS,11698.79,11698.79,118974.36,2025-08-01,2025-08-25
DXB63,ZANOBIA TOURISM,10700.48,10700.48,119847.55,2025-08-01,2025-08-25
LTK6,ZOUHAL TRAVEL,4044.4,4044.4,18737.25,2025-08-01,2025-08-25
IST20,abu rass,3028.0,3028.0,3028.0,2025-08-01,2025-08-25
DAM196,advanced usd,3338.92,3338.92,11664.23,2025-08-01,2025-08-25
IST12,airshad,28174.59,28174.59,84750.24,2025-08-01,2025-08-25
DXB80,ajnihat alwalid travel and tourism,2427.6,2427.6,6740.37,2025-08-01,2025-08-25
DAM188,aldawlyusd,7184.43,7184.43,66311.34,2025-08-01,2025-08-25
DAM201,alshaheen usd,1071.04,1071.04,3075.41,2025-08-01,2025-08-25
LTK13,altabba usd,1761.47,1761.47,2073.02,2025-08-01,2025-08-25
IST11,art of travel,57665.16,57665.16,147369.32,2025-08-01,2025-08-25
DAM198,aslan usd,5093.23,5093.23,16250.47,2025-08-01,2025-08-25
