Agent Code,Agent Name,Station Code,Station Name,Country,Territory,Invoice Number,"Fare
","Tax

","Modify

",Surcharge,Invoice Total,Unnamed: 12,Unnamed: 13,Emails Sent,Detail,report_year,report_month
DXB44,AL ZAMEL TRAVEL & TOURISM,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000137.0,"1,381.81",454.68,13.65,"1,980.00",3830.14,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
IST5,hamdan group,IST,tr-istanbul,Turkey,IST,250801000124.0,"7,939.45","1,624.61",660.00,"4,800.00",15024.06,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
IST15,Tuba,IST,tr-istanbul,Turkey,IST,250801000040.0,"4,480.25",969.85,0.00,"2,850.00",8300.1,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
IST16,top torch,IST,tr-istanbul,Turkey,IST,250801000176.0,"1,048.75",232.20,30.00,675.00,1985.95,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB11,PACK & GO TRAVEL TOURISM LLC,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000159.0,"2,938.41",978.39,0.00,"3,885.00",7801.8,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM102,YAS,DAM,SY-DAMASCUS,Syria,DMS,250801000089.0,"4,152.33","1,013.37",0.00,"3,300.00",8465.7,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
KWI35,Al Jazeera international travel & tourism,KWI,KW-KUWAIT,Kuwait,KWT,250801000147.0,"10,753.37","2,213.07",50.00,"8,823.75",21840.19,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB32,Dubai link tours,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000011.0,20.00,37.07,0.00,120.00,177.07,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB16,AYAVA,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000163.0,260.46,62.13,0.00,240.00,562.59,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
KWI12,ALATHEER,KWI,KW-KUWAIT,Kuwait,KWT,250801000084.0,197.40,39.00,0.00,156.50,392.9,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
SHJ10,Sky Dreams LLC,SHJ,AE-SHARJAH,United Arab Emirates,SHJ,250801000171.0,577.88,346.68,27.25,"1,200.00",2151.81,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
KWI29,ALSAYED KWI,KWI,KW-KUWAIT,Kuwait,KWT,250801000138.0,"14,444.09","3,073.18",319.76,"11,999.00",29836.03,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
SHJ8,PETRA,SHJ,AE-SHARJAH,United Arab Emirates,SHJ,250801000094.0,"1,070.44",211.45,0.00,900.00,2181.89,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
AUH5,MAKAREM,AUH,AE-ABUDHABI,United Arab Emirates,AUH,250801000132.0,"2,608.46",717.40,0.00,"3,000.00",6325.86,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM110,BABYLON,DAM,SY-DAMASCUS,Syria,DMS,250801000181.0,-193.52,-35.83,0.00,-75.00,-304.35,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
IST14,Nevada Turizm,IST,tr-istanbul,Turkey,IST,250801000127.0,"7,299.30","1,571.32",60.00,"4,575.00",13505.62,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB20,ELAF,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000164.0,"10,131.93","5,765.06",340.77,"23,314.89",39552.65,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB15,NARJIS,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000161.0,994.04,113.73,0.00,450.00,1557.77,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM118,ADVANCED,DAM,SY-DAMASCUS,Syria,DMS,250801000052.0,860.48,135.64,0.00,300.00,1296.12,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB39,TAJ ALSHAM FOR TOURISM LLC DXB,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000170.0,"1,110.00",274.18,30.00,"1,020.00",2434.18,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
IST4,ila tourism,IST,tr-istanbul,Turkey,IST,250801000123.0,190.90,49.49,0.00,210.00,450.39,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
QHS3,ALMOHTARIF,QHS,SY-HOMS,Syria,DMS,250801000160.0,"2,250.88",455.29,0.00,"1,485.00",4191.17,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
IST1,road makers travel tourism,IST,tr-istanbul,Turkey,IST,250801000153.0,"4,918.50","1,086.61",150.00,"3,150.00",9305.11,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
KWI10,ALKHALIJIA,KWI,KW-KUWAIT,Kuwait,KWT,250801000112.0,"5,691.59","1,220.66",32.47,"5,067.50",12012.22,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
QHM6,ALASAL,QHM,SY-HAMA,Syria,DMS,250801000051.0,"4,867.21","1,316.18",0.00,"3,990.00",10173.39,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM48,MOUNTAIN ROSE,DAM,SY-DAMASCUS,Syria,DMS,250801000003.0,719.26,221.10,0.00,540.00,1480.36,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM50,URJUWAN,DAM,SY-DAMASCUS,Syria,DMS,250801000086.0,48.00,0.00,0.00,0.00,48.0,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
QAJ4,ALTAYAR,QAJ,AE-AJMAN,United Arab Emirates,QAJ,250801000135.0,230.30,259.49,0.00,840.00,1329.79,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM63,ALSHAHEEN,DAM,SY-DAMASCUS,Syria,DMS,250801000156.0,"1,762.42",408.07,0.00,"1,050.00",3220.49,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM187,orfali usd,DAM,SY-DAMASCUS,Syria,DMS,250801000104.0,"3,240.44","1,025.05",0.00,"2,805.00",7070.49,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB26,GRANADA GATE,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000136.0,"2,002.20","1,277.21",367.92,"4,740.00",8387.33,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
SHJ12,PERFECT TRAVEL,SHJ,AE-SHARJAH,United Arab Emirates,SHJ,250801000149.0,110.30,37.07,0.00,120.00,267.37,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
AUH10,ALMOUED,AUH,AE-ABUDHABI,United Arab Emirates,AUH,250801000055.0,483.18,161.33,0.00,600.00,1244.51,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
IST12,airshad,IST,tr-istanbul,Turkey,IST,250801000144.0,"10,655.55","2,246.82",360.00,"6,600.00",19862.37,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
IST7,experts,IST,tr-istanbul,Turkey,IST,250801000172.0,"11,432.42","2,414.75",210.00,"7,125.00",21182.17,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
QAJ3,UGARIT,QAJ,AE-AJMAN,United Arab Emirates,QAJ,250801000097.0,"1,416.81",521.10,-471.06,"1,484.94",2951.79,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM77,SKY SYRIA,DAM,SY-DAMASCUS,Syria,DMS,250801000048.0,271.90,82.71,0.00,255.00,609.61,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM51,ALMUDIFAH,DAM,SY-DAMASCUS,Syria,DMS,250801000128.0,976.38,240.88,0.00,735.00,1952.26,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM202,gilgamish diamond usd,DAM,SY-DAMASCUS,Syria,DMS,250801000179.0,"1,169.46",305.74,0.00,825.00,2300.2,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
GSA18,SARIGOL TYRIZM -,IST,tr-istanbul,Turkey,IST,250801000015.0,"3,552.80",727.00,180.00,"3,090.00",7549.8,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM162,HAWA BAGHDAD,DAM,SY-DAMASCUS,Syria,DMS,250801000079.0,"1,213.22",280.58,0.00,690.00,2183.8,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
IST6,emir istanbul,IST,tr-istanbul,Turkey,IST,250801000033.0,"16,049.90","3,742.80",270.00,"11,265.00",31327.7,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB73,ARABIAN STAR TOURS LLCDXB,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000122.0,20.00,37.07,0.00,120.00,177.07,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
AUH35,options holidays,AUH,AE-ABUDHABI,United Arab Emirates,AUH,250801000148.0,280.16,62.13,0.00,300.00,642.29,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
GSA8,ANTA Travel & Tourism,QAJ,AE-AJMAN,United Arab Emirates,QAJ,250801000023.0,"48,405.75","21,951.67",699.15,"82,482.56",153539.13,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
SHJ7,JOELLE,SHJ,AE-SHARJAH,United Arab Emirates,SHJ,250801000165.0,"1,775.66",968.58,40.88,"3,660.00",6445.12,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB80,ajnihat alwalid travel and tourism,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000075.0,352.00,113.73,0.00,510.00,975.73,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM29,TAJ ALSHAM,DAM,SY-DAMASCUS,Syria,DMS,250801000035.0,770.25,104.86,0.00,270.00,1145.11,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
LTK5,SKYTRAVELUSD,LTK,SY-LATTAKIA,Syria,DMS,250801000028.0,"6,947.27","1,929.92",0.00,"6,435.00",15312.19,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM87,SHAM WATFEH,DAM,SY-DAMASCUS,Syria,DMS,250801000158.0,"4,720.93","1,062.70",0.00,"2,775.00",8558.63,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM119,SHURBAJI,DAM,SY-DAMASCUS,Syria,DMS,250801000053.0,"15,158.34","3,967.14",-20.00,"11,309.98",30415.46,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
KWI13,ALMALEK ALDAARI,KWI,KW-KUWAIT,Kuwait,KWT,250801000085.0,"37,728.69","8,286.49",811.75,"30,951.75",77778.68,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
GSA10,DOHA OFFICE TRAVEL,DOH,QR-DOHA,Qatar,QAR,250801000154.0,"31,368.90","5,332.60",-130.00,"12,686.15",49162.65,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM44,ALAWABEEN,QHM,SY-HAMA,Syria,DMS,250801000083.0,"3,056.92",742.91,50.00,"1,935.00",5784.83,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM95,SYRIA LINK,DAM,SY-DAMASCUS,Syria,DMS,250801000027.0,"12,773.23","3,413.47",100.00,"9,870.00",26156.7,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM149,SHILAN TRAVEL,DAM,SY-DAMASCUS,Syria,DMS,250801000061.0,"13,563.58","3,754.98",25.00,"11,670.00",29013.56,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB36,DAMA SKY TOURISM,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000063.0,891.55,417.37,40.00,"1,610.00",2958.92,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
IST10,nusuk,IST,tr-istanbul,Turkey,IST,250801000071.0,"5,358.10","1,081.49",0.00,"3,150.00",9589.59,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM26,MAWAKEB ALSHARQ,DAM,SY-DAMASCUS,Syria,DMS,250801000006.0,"2,314.28",780.65,0.00,"2,025.00",5119.93,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM70,MARROTA,DAM,SY-DAMASCUS,Syria,DMS,250801000115.0,"12,964.77","3,061.00",50.00,"7,843.00",23918.77,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
AUH34,enigma fot travel,AUH,AE-ABUDHABI,United Arab Emirates,AUH,250801000150.0,"2,025.51",633.91,40.88,"2,340.00",5040.3,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
QHM12,ALAWABEEN usd,QHM,SY-HAMA,Syria,DMS,250801000021.0,"2,955.40",641.26,0.00,"1,980.00",5576.66,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB48,AL MOUKTAR TRAVEL & TOURISM LLC,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000065.0,"1,080.10","1,645.25",-120.00,"5,640.00",8245.35,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM68,GILGAMISH,DAM,SY-DAMASCUS,Syria,DMS,250801000024.0,"1,919.18",506.66,0.00,"1,635.00",4060.84,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB81,sunchaser travel,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000077.0,"1,049.90",553.75,27.25,"1,815.00",3445.9,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
AUH14,Arabian nights travel,AUH,AE-ABUDHABI,United Arab Emirates,AUH,250801000103.0,70.00,74.14,0.00,240.00,384.14,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM96,MASA,DAM,SY-DAMASCUS,Syria,DMS,250801000049.0,"2,295.60",579.71,75.00,"1,650.00",4600.31,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
LTK7,JALJOUL TRAVEL & TOURISM,LTK,SY-LATTAKIA,Syria,DMS,250801000029.0,182.63,32.78,0.00,75.00,290.41,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
IST9,uranus,IST,tr-istanbul,Turkey,IST,250801000076.0,"9,665.40","2,042.90",180.00,"6,000.00",17888.3,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM199,jabri,DAM,SY-DAMASCUS,Syria,DMS,250801000175.0,"2,528.06",675.91,0.00,"1,800.00",5003.97,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB47,SHARIF HOUSE LLC- FZ,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000100.0,20.00,37.07,0.00,120.00,177.07,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
