,,AGENTS PRODUCTIVITY REPORT,,,,
,,,,Report ID :,UC_REPM_011,
From Date :,1/8/2025,,,,,
,,,,Print Date :,27/08/2025,
To Date      :,25/08/2025,,,,,
,,,,Print Time :,13.04.50,Zulu
"Agent Code
","Agent Name
",Current Sale(USD),YTD Sale for the Month(USD),YTD Sale(USD),,
IST18,TIO elsultan travel,"3,726.97","3,726.97","3,726.97",,
DXB25,TOMEH,"7,082.72","7,082.72","90,187.01",,
DXB12,TRANSTOUR,"13,242.96","13,242.96","126,268.99",,
IST15,Tuba,"12,241.42","12,241.42","27,755.28",,
QAJ3,UGARIT,"13,855.92","13,855.92","419,571.26",,
DXB8,UNITED TOURIST MANAGEMENT LLC,"15,616.38","15,616.38","247,183.48",,
DAM50,URJUWAN,48,48,"2,540.61",,
SHJ13,W T TOURISM AND TRAVL,"38,735.18","38,735.18","729,375.73",,
DXB37,WAHET ALALMAS TRAVEL AGENCY,735.57,735.57,735.57,,
DXB33,WL T TRAVEL AND TOURISM,"57,934.24","57,934.24","278,069.27",,
DXB79,YARA DEEB TRAVEL AGENCY LLC,"9,218.87","9,218.87","191,081.56",,
DAM102,YAS,"11,698.79","11,698.79","118,974.36",,
DXB63,ZANOBIA TOURISM,"10,700.48","10,700.48","119,847.55",,
LTK6,ZOUHAL TRAVEL,"4,044.40","4,044.40","18,737.25",,
IST20,abu rass,"3,028.00","3,028.00","3,028.00",,
DAM196,advanced usd,"3,338.92","3,338.92","11,664.23",,
IST12,airshad,"28,174.59","28,174.59","84,750.24",,
DXB80,ajnihat alwalid travel and tourism,"2,427.60","2,427.60","6,740.37",,
DAM188,aldawlyusd,"7,184.43","7,184.43","66,311.34",,
DAM201,alshaheen usd,"1,071.04","1,071.04","3,075.41",,
LTK13,altabba usd,"1,761.47","1,761.47","2,073.02",,
IST11,art of travel,"57,665.16","57,665.16","147,369.32",,
DAM198,aslan usd,"5,093.23","5,093.23","16,250.47",,
DAM197,babylon usd,231.18,231.18,"1,881.47",,
IST17,bon voyage,"6,746.76","6,746.76","8,315.45",,
IST6,emir istanbul,"41,291.33","41,291.33","288,792.18",,
AUH34,enigma fot travel,"8,938.99","8,938.99","195,631.44",,
IST2,esb travel,"1,458.27","1,458.27","1,708.07",,
IST7,experts,"24,110.46","24,110.46","135,108.23",,
DAM192,gilgamesh diamond,"9,695.00","9,695.00","36,122.56",,
DAM202,gilgamish diamond usd,"4,880.33","4,880.33","4,880.33",,
IST5,hamdan group,"21,613.30","21,613.30","441,045.66",,
IST4,ila tourism,"1,139.79","1,139.79","15,878.22",,
DAM199,jabri,"11,905.10","11,905.10","21,064.89",,
DAM200,jabri usd,"14,214.06","14,214.06","21,565.98",,
IST8,kral,"8,802.39","8,802.39","55,123.55",,
DAM189,mawakeb alsharq usd,"7,897.26","7,897.26","68,822.28",,
IST3,moto tour,"7,483.14","7,483.14","45,584.51",,
IST10,nusuk,"10,991.03","10,991.03","65,106.97",,
AUH35,options holidays,"1,177.14","1,177.14","16,500.35",,
DAM187,orfali usd,"10,477.23","10,477.23","85,078.99",,
IST1,road makers travel tourism,"12,062.19","12,062.19","127,848.07",,
DAM195,shilan usd,"3,478.01","3,478.01","7,797.14",,
DXB81,sunchaser travel,"5,175.96","5,175.96","19,207.67",,
DAM190,syria link usd,"63,930.41","63,930.41","289,063.15",,
DAM186,syrian travel &touriisim usd,"177,478.04","177,478.04","1,343,584.19",,
DAM194,taj almasa usd,"30,069.23","30,069.23","125,148.11",,
DXB83,tariq alkaiser travel,"3,053.50","3,053.50","4,952.52",,
IST16,top torch,"3,050.35","3,050.35","14,743.80",,
IST9,uranus,"24,157.20","24,157.20","111,304.13",,
DAM207,world link usd,"3,038.30","3,038.30","3,038.30",,
DAM193,yas usd,"10,393.74","10,393.74","41,506.99",,
KWI13,ALMALEK ALDAARI,"92,909.33","92,909.33","1,634,719.02",,
ALP4,ALMALLA,"5,955.36","5,955.36","13,314.35",,
QDR8,ALMANASEK,246.71,246.71,856.1,,
QHS3,ALMOHTARIF,"7,080.18","7,080.18","40,104.62",,
AUH10,ALMOUED,"1,625.94","1,625.94","10,728.21",,
DAM51,ALMUDIFAH,"2,672.44","2,672.44","29,921.94",,
DEZ6,ALNEMR TRAVEL,"1,672.64","1,672.64","22,264.43",,
DAM73,ALRASSAM,"12,833.82","12,833.82","249,029.48",,
KWI11,ALSAQR ALOLA,"6,983.46","6,983.46","165,865.29",,
DAM56,ALSAYED,"1,864.65","1,864.65","11,573.57",,
KWI29,ALSAYED KWI,"34,783.14","34,783.14","742,392.88",,
DAM63,ALSHAHEEN,"4,047.39","4,047.39","66,459.11",,
QHM3,ALSHAMALI,"14,096.47","14,096.47","56,905.80",,
QAJ10,ALSHOUFI TRAVEL AND TOURISM FZE,0.14,0.14,"67,782.15",,
DAM32,ALSHRIAA,"11,883.44","11,883.44","106,927.23",,
KWI7,ALSSAFA,"6,601.96","6,601.96","110,985.19",,
LTK3,ALTABBA,"2,466.44","2,466.44","12,563.70",,
DAM100,ALTAHADI,"2,918.88","2,918.88","3,295.45",,
DXB18,ALTAHADI DXB,343.53,343.53,"1,431.52",,
DAM210,ALTAHADI TOURS USD,"1,233.58","1,233.58","1,233.58",,
QAJ4,ALTAYAR,"1,861.00","1,861.00","12,917.89",,
DXB78,ALWATHEQ TRAVEL AND TOURISM LLC,594.13,594.13,"5,307.18",,
LTK8,APOLLO TRAVEL AND TOURISM,941.08,941.08,"6,743.86",,
DXB73,ARABIAN STAR TOURS LLCDXB,177.07,177.07,"20,581.57",,
QHM7,ASAL,221.66,221.66,"2,888.15",,
DAM98,ASLAN,"49,018.87","49,018.87","340,221.37",,
