,,,,SEAT INVENTORY AND COLLECTIONS,,,,,,,,,,,,,
Report ID,: UC_REPM_015,,,,,,,,,,,,,,,,
From Date,: 01/01/2025,,,,,,,,,,Print Date :,11/09/2,,,,,
To Date,: 01/09/2025,,,,,,,,,,Print Time :,11:05:,Zulu,,,,
Flight Date,Flight No,Segment,COS,Seats Allocate,Over sell,Curtailed,Seats Sold,On Hold,Fixed,Seats Available,Fare Collection(USD),Seat Factor,Sur Charge,Flight Status,Baggage ,Sold Seats ,Ava.Seats 
01/07/2025,RB501,DAM/SHJ,C,11,0,0,0,0,0,2,0.00,0 %,0.00,ACT,0.00,0,11
01/07/2025,RB501,DAM/SHJ,Y,144,0,0,0,0,0,3,0.00,0 %,0.00,ACT,0.00,0,144
01/07/2025,RB502,SHJ/DAM,C,11,0,0,0,0,0,0,0.00,0 %,0.00,ACT,0.00,0,11
01/07/2025,RB502,SHJ/DAM,Y,144,0,0,0,0,0,2,0.00,0 %,0.00,ACT,0.00,0,144
01/08/2025,RB521,DAM/DOH,C,11,0,0,0,0,0,2,0.00,0 %,0.00,ACT,0.00,0,11
01/08/2025,RB521,DAM/DOH,Y,145,0,0,0,0,0,15,0.00,0 %,0.00,ACT,0.00,0,145
01/08/2025,RB522,DOH/DAM,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
01/08/2025,RB522,DOH/DAM,Y,145,0,0,0,0,0,48,0.00,0 %,0.00,ACT,0.00,0,145
01/09/2025,RB381,DAM/JED,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
01/09/2025,RB381,DAM/JED,Y,145,0,0,0,0,0,97,0.00,0 %,0.00,ACT,0.00,0,145
01/09/2025,RB382,JED/DAM,C,11,0,0,0,0,0,5,0.00,0 %,0.00,ACT,0.00,0,11
01/09/2025,RB382,JED/DAM,Y,145,0,0,0,0,0,121,0.00,0 %,0.00,ACT,0.00,0,145
01/10/2025,RB389,DAM/RUH,C,11,0,0,0,0,0,9,0.00,0 %,0.00,ACT,0.00,0,11
01/10/2025,RB389,DAM/RUH,Y,145,0,0,0,0,0,87,0.00,0 %,0.00,ACT,0.00,0,145
01/10/2025,RB390,RUH/DAM,C,11,0,0,0,0,0,7,0.00,0 %,0.00,ACT,0.00,0,11
01/10/2025,RB390,RUH/DAM,Y,145,0,0,0,0,0,50,0.00,0 %,0.00,ACT,0.00,0,145
01/11/2025,RB521,DAM/DOH,C,11,0,0,0,0,0,3,0.00,0 %,0.00,ACT,0.00,0,11
01/11/2025,RB521,DAM/DOH,Y,145,0,0,0,0,0,15,0.00,0 %,0.00,ACT,0.00,0,145
01/11/2025,RB522,DOH/DAM,C,11,0,0,0,0,0,7,0.00,0 %,0.00,ACT,0.00,0,11
01/11/2025,RB522,DOH/DAM,Y,145,0,0,0,0,0,33,0.00,0 %,0.00,ACT,0.00,0,145
01/11/2025,RB341,DAM/KWI,C,11,0,0,0,0,0,10,0.00,0 %,0.00,ACT,0.00,0,11
01/11/2025,RB341,DAM/KWI,Y,145,0,0,0,0,0,26,0.00,0 %,0.00,ACT,0.00,0,145
01/11/2025,RB342,KWI/DAM,C,11,0,0,0,0,0,1,0.00,0 %,0.00,ACT,0.00,0,11
01/11/2025,RB342,KWI/DAM,Y,145,0,0,0,0,0,9,0.00,0 %,0.00,ACT,0.00,0,145
01/12/2025,RB389,DAM/RUH,C,11,0,0,0,0,0,10,0.00,0 %,0.00,ACT,0.00,0,11
01/12/2025,RB389,DAM/RUH,Y,145,0,0,0,0,0,97,0.00,0 %,0.00,ACT,0.00,0,145
01/12/2025,RB390,RUH/DAM,C,11,0,0,0,0,0,4,0.00,0 %,0.00,ACT,0.00,0,11
01/12/2025,RB390,RUH/DAM,Y,145,0,0,0,0,0,88,0.00,0 %,0.00,ACT,0.00,0,145
01/13/2025,RB521,DAM/DOH,C,11,0,0,0,0,0,10,0.00,0 %,0.00,ACT,0.00,0,11
01/13/2025,RB521,DAM/DOH,Y,145,0,0,0,0,0,90,0.00,0 %,0.00,ACT,0.00,0,145
01/13/2025,RB522,DOH/DAM,C,11,0,0,0,0,0,8,0.00,0 %,0.00,ACT,0.00,0,11
01/13/2025,RB522,DOH/DAM,Y,145,0,0,0,0,0,122,0.00,0 %,0.00,ACT,0.00,0,145
01/13/2025,RB381,DAM/JED,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
01/13/2025,RB381,DAM/JED,Y,145,0,0,0,0,0,76,0.00,0 %,0.00,ACT,0.00,0,145
01/13/2025,RB382,JED/DAM,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
01/13/2025,RB382,JED/DAM,Y,145,0,0,0,0,0,107,0.00,0 %,0.00,ACT,0.00,0,145
01/14/2025,RB341,DAM/KWI,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
01/14/2025,RB341,DAM/KWI,Y,145,0,0,0,0,0,85,0.00,0 %,0.00,ACT,0.00,0,145
01/14/2025,RB342,KWI/DAM,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
01/14/2025,RB342,KWI/DAM,Y,145,0,0,0,0,0,63,0.00,0 %,0.00,ACT,0.00,0,145
01/15/2025,RB521,DAM/DOH,C,11,0,0,0,0,0,8,0.00,0 %,0.00,ACT,0.00,0,11
01/15/2025,RB521,DAM/DOH,Y,145,0,0,0,0,0,9,0.00,0 %,0.00,ACT,0.00,0,145
01/15/2025,RB522,DOH/DAM,C,11,0,0,0,0,0,7,0.00,0 %,0.00,ACT,0.00,0,11
01/15/2025,RB522,DOH/DAM,Y,145,0,0,0,0,0,25,0.00,0 %,0.00,ACT,0.00,0,145
01/16/2025,RB381,DAM/JED,C,11,0,0,0,0,0,2,0.00,0 %,0.00,ACT,0.00,0,11
01/16/2025,RB381,DAM/JED,Y,145,0,0,0,0,0,35,0.00,0 %,0.00,ACT,0.00,0,145
