Flight Date,Flight No,Segment,COS,Seats Allocate,Over sell,Curtailed,Seats Sold,On Hold,Fixed,Seats Available,Fare Collection(USD),Seat Factor,Sur Charge,Flight Status,Baggage ,Sold Seats ,Ava.Seats 
8/18/2025,RB515,DAM/DXB,C,12,0,0,9,0,0,3,"3,275.36",75%,0,ACT,0,9,3
8/18/2025,RB515,DAM/DXB,Y,145,0,0,140,0,0,5,"21,368.82",97%,0,ACT,0,140,5
8/18/2025,RB390,RUH/DAM,C,12,0,0,2,0,0,10,693.34,17%,0,ACT,0,2,10
8/18/2025,RB390,RUH/DAM,Y,148,0,0,50,0,0,98,"4,259.81",34%,0,ACT,0,50,98
8/18/2025,RB444,IST/ALP,C,12,0,0,1,0,0,11,374,8%,0,ACT,0,1,11
8/18/2025,RB444,IST/ALP,Y,141,0,0,105,0,0,36,"12,729.41",74%,0,ACT,0,105,36
8/18/2025,RB517,ALP/DXB,C,12,0,0,10,0,0,2,"3,622.39",83%,0,ACT,0,10,2
8/18/2025,RB517,ALP/DXB,Y,141,0,0,141,0,0,0,"20,868.91",100%,0,ACT,0,141,0
8/18/2025,RB516,DXB/DAM,C,12,0,0,5,0,0,7,"1,661.31",42%,0,ACT,0,5,7
8/18/2025,RB516,DXB/DAM,Y,145,0,0,58,0,0,87,"3,573.75",40%,0,ACT,0,58,87
8/18/2025,RB501,DAM/SHJ,C,12,0,0,2,0,0,10,616.26,17%,0,ACT,0,2,10
8/18/2025,RB501,DAM/SHJ,Y,145,0,0,143,0,0,2,"25,628.91",99%,0,ACT,0,143,2
8/18/2025,RB521,DAM/DOH,C,12,0,0,11,0,0,1,"3,421.14",92%,0,ACT,0,11,1
8/18/2025,RB521,DAM/DOH,Y,148,0,0,146,0,0,2,"25,723.73",99%,0,ACT,0,146,2
8/18/2025,RB518,DXB/ALP,C,12,0,0,3,0,0,9,"1,304.11",25%,0,ACT,0,3,9
8/18/2025,RB518,DXB/ALP,Y,141,0,0,67,0,0,74,"8,584.14",48%,0,ACT,0,67,74
8/18/2025,RB522,DOH/DAM,C,12,0,0,2,0,0,10,767.13,17%,0,ACT,0,2,10
8/18/2025,RB522,DOH/DAM,Y,148,0,0,21,0,0,127,"3,241.69",14%,0,ACT,0,21,127
8/18/2025,RB502,SHJ/DAM,C,12,0,0,0,0,0,12,0,0%,0,ACT,0,0,12
8/18/2025,RB502,SHJ/DAM,Y,145,0,0,47,0,0,98,"2,241.93",32%,0,ACT,0,47,98
8/18/2025,RB445,ALP/IST,C,12,0,0,0,0,0,12,0,0%,0,ACT,0,0,12
8/18/2025,RB445,ALP/IST,Y,141,0,0,96,0,0,45,"10,269.57",68%,0,ACT,0,96,45
8/19/2025,RB446,IST/DAM,C,12,0,0,0,0,0,12,0,0%,0,ACT,0,0,12
8/19/2025,RB446,IST/DAM,Y,138,0,0,45,0,0,93,"5,200.50",33%,0,ACT,0,45,93
8/19/2025,RB515,DAM/DXB,C,12,0,0,4,0,0,8,"1,232.52",33%,0,ACT,0,4,8
8/19/2025,RB515,DAM/DXB,Y,145,0,0,134,0,0,11,"17,995.83",92%,0,ACT,0,134,11
8/19/2025,RB341,DAM/KWI,C,12,0,0,2,0,0,10,340.88,17%,0,ACT,0,2,10
8/19/2025,RB341,DAM/KWI,Y,148,0,0,130,0,0,18,"12,976.61",88%,0,ACT,0,130,18
8/19/2025,RB342,KWI/DAM,C,12,0,0,0,0,0,12,0,0%,0,ACT,0,0,12
8/19/2025,RB342,KWI/DAM,Y,148,0,0,111,0,0,37,"11,161.25",75%,0,ACT,0,111,37
8/19/2025,RB516,DXB/DAM,C,12,0,0,1,0,0,11,255,8%,0,ACT,0,1,11
8/19/2025,RB516,DXB/DAM,Y,145,0,0,39,0,0,106,"1,744.41",27%,0,ACT,0,39,106
8/19/2025,RB503,DAM/AUH,C,12,0,0,12,0,0,0,"4,426.92",100%,0,ACT,0,12,0
8/19/2025,RB503,DAM/AUH,Y,148,0,0,145,0,0,3,"27,605.20",98%,0,ACT,0,145,3
8/19/2025,RB501,DAM/SHJ,C,12,0,0,12,0,0,0,"4,255.94",100%,0,ACT,0,12,0
8/19/2025,RB501,DAM/SHJ,Y,145,0,0,146,0,0,0,"26,180.37",101%,0,ACT,0,146,0
8/19/2025,RB443,DAM/IST,C,12,0,0,8,0,0,4,"2,342.28",67%,0,ACT,0,8,4
8/19/2025,RB443,DAM/IST,Y,141,0,0,93,0,0,48,"9,307.58",66%,0,ACT,0,93,48
8/19/2025,RB504,AUH/DAM,C,12,0,0,1,0,0,11,425.98,8%,0,ACT,0,1,11
8/19/2025,RB504,AUH/DAM,Y,148,0,0,50,0,0,98,"3,300.69",34%,0,ACT,0,50,98
8/19/2025,RB444,IST/DAM,C,12,0,0,5,0,0,7,"1,371.25",42%,0,ACT,0,5,7
8/19/2025,RB444,IST/DAM,Y,141,0,0,81,0,0,60,"9,139.26",57%,0,ACT,0,81,60
