,,COMPANY PAYMENTS,,,,,,,,,,
,,Summary Report,,,,,,,,,,
From Date,01/01/2025,,,,,,,,,Report ID,UC_REPM_02,
To Date,22/09/2025,,,,,,,,,Print Date,24/09/2025,
Entity,Reservation,,,,,,,,,Print Time,15:13:46,ZULU
Agent/GSA Code,Agent/GSA Name,Agent IATA ,Account Code,Currency,Fare Amount,Tax Amount,Surcharge Amount,Modify Amount,Payment Amount,Refund Amount,Net Amount,To Detail
DAM141,HADARA TRAVEL,,0071,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM144,HALLA SYRIA,,0075,SYP,"13,404,784.00","2,232,153.00","5,925,031.00",0.00,"21,561,968.00",0.00,"21,561,968.00",Detail
DAM144,HALLA SYRIA,,0075,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM146,ALHASHIME INTRNATIONAL,,0079,SYP,"1,104,307,160.00","274,758,150.00","829,267,085.00",0.00,"2,301,600,664.00","94,263,294.00","2,207,337,370.00",Detail
DAM146,ALHASHIME INTRNATIONAL,,0079,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM148,TAIMALSHAM TRAVEL,,00239,SYP,"5,362,128.00","576,070.00","1,846,826.00",0.00,"7,785,024.00",0.00,"7,785,024.00",Detail
DAM149,SHILAN TRAVEL,,00244,SYP,"1,553,338,631.00","359,449,534.00","1,091,035,087.00",0.00,"3,142,156,770.00","138,333,518.00","3,003,823,252.00",Detail
DAM149,SHILAN TRAVEL,,00244,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM153,SAMA ALJANUB,,dam146,SYP,"14,671,088.00","3,147,262.00","7,628,528.00",0.00,"25,446,878.00",0.00,"25,446,878.00",Detail
DAM153,SAMA ALJANUB,,dam146,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM155,SAFRNY,,DAM148,SYP,"52,293,878.00","11,094,817.00","30,588,316.00",0.00,"97,688,661.00","3,711,650.00","93,977,011.00",Detail
DAM156,GOLDEN SKY,,DA149,SYP,"2,455,305,784.00","564,219,845.00","1,382,852,843.00",0.00,"4,654,089,055.00","251,710,583.00","4,402,378,472.00",Detail
DAM156,GOLDEN SKY,,DA149,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM157,E-TICKET,,00150,SYP,"14,587,981.00","2,469,624.00","7,658,154.00",0.00,"24,715,759.00",0.00,"24,715,759.00",Detail
DAM157,E-TICKET,,00150,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
