,,"ENPLANEMENT
",,,,,
,,Summary Report,,,,,
,,,,,Report ID:,UC_REPM_0,
From Date,: 01/08/2025,,,,Print Date :,26/08/2025,
To Date,: 25/08/2025,,,,Print Time :,16.56.22,Zulu
"Departure Date

","Flight Number
","Segment
","Booked Load
(Adult/Infant)","Go Shows
",No Recs.,No Shows,"Flown Load
"
08/07/2025,RB381,DAM/JED,109 \ 0,0,0,1,108
08/07/2025,RB501,DAM/SHJ,109 \ 2,0,0,2,109
08/07/2025,RB341,DAM/KWI,120 \ 1,0,0,1,120
08/07/2025,RB382,JED/DAM,22 \ 0,0,0,0,22
08/07/2025,RB342,KWI/DAM,149 \ 6,0,0,8,147
08/07/2025,RB502,SHJ/DAM,55 \ 0,0,0,0,55
08/07/2025,RB445,DAM/IST,49 \ 0,0,0,0,49
08/07/2025,RB446,IST/DAM,81 \ 1,0,0,1,81
08/08/2025,RB505,DAM/SHJ,114 \ 2,0,0,0,116
08/08/2025,RB503,DAM/AUH,125 \ 2,0,0,0,127
08/08/2025,RB515,DAM/DXB,145 \ 1,0,0,1,145
08/08/2025,RB506,SHJ/DAM,93 \ 4,0,0,0,96
08/08/2025,RB504,AUH/DAM,112 \ 2,0,0,7,106
08/08/2025,RB516,DXB/DAM,111 \ 2,0,0,3,110
08/08/2025,RB501,DAM/SHJ,119 \ 2,0,0,3,118
08/08/2025,RB443,DAM/IST,87 \ 1,0,0,3,85
08/08/2025,RB389,DAM/RUH,152 \ 2,0,0,0,154
08/08/2025,RB502,SHJ/DAM,49 \ 1,0,0,5,45
08/08/2025,RB444,IST/DAM,121 \ 4,0,0,5,120
08/08/2025,RB390,RUH/DAM,55 \ 0,0,1,3,51
08/09/2025,RB505,DAM/SHJ,108 \ 1,0,0,0,109
08/09/2025,RB515,DAM/DXB,118 \ 2,0,0,3,117
08/09/2025,RB389,DAM/RUH,116 \ 2,0,0,2,116
08/09/2025,RB506,SHJ/DAM,77 \ 1,0,1,2,75
08/09/2025,RB390,RUH/DAM,57 \ 0,0,0,0,55
08/09/2025,RB516,DXB/DAM,103 \ 2,0,0,5,99
08/09/2025,RB521,DAM/DOH,148 \ 3,0,0,0,151
08/09/2025,RB501,DAM/SHJ,137 \ 7,0,1,1,142
08/09/2025,RB341,DAM/KWI,106 \ 4,0,0,1,109
08/09/2025,RB522,DOH/DAM,75 \ 4,0,0,5,74
08/09/2025,RB342,KWI/DAM,144 \ 5,0,0,1,148
08/09/2025,RB502,SHJ/DAM,44 \ 2,0,0,1,45
08/09/2025,RB445,DAM/IST,46 \ 2,0,0,0,48
08/09/2025,RB446,IST/DAM,75 \ 3,0,0,0,78
08/10/2025,RB505,DAM/SHJ,112 \ 2,0,0,2,112
08/10/2025,RB381,DAM/JED,58 \ 1,0,0,0,59
08/10/2025,RB515,DAM/DXB,131 \ 4,0,0,1,134
08/10/2025,RB506,SHJ/DAM,96 \ 3,0,1,3,95
08/10/2025,RB382,JED/DAM,48 \ 1,0,0,0,49
08/10/2025,RB516,DXB/DAM,110 \ 4,0,0,3,111
08/10/2025,RB443,DAM/IST,101 \ 1,0,0,0,102
08/10/2025,RB501,DAM/SHJ,149 \ 4,0,0,1,152
08/10/2025,RB444,IST/DAM,111 \ 4,0,0,1,114
08/10/2025,RB502,SHJ/DAM,50 \ 2,0,0,2,50
08/11/2025,RB389,DAM/RUH,132 \ 6,0,0,2,136
08/11/2025,RB443,DAM/IST,67 \ 0,0,0,0,67
08/11/2025,RB515,DAM/DXB,124 \ 3,0,0,5,122
08/11/2025,RB390,RUH/DAM,37 \ 1,0,0,0,38
08/11/2025,RB444,IST/ALP,134 \ 1,0,0,4,130
08/11/2025,RB516,DXB/DAM,70 \ 0,0,0,1,69
08/11/2025,RB517,ALP/DXB,149 \ 2,0,0,0,151
08/11/2025,RB501,DAM/SHJ,153 \ 4,0,0,1,156
08/11/2025,RB518,DXB/ALP,89 \ 3,0,0,1,91
08/11/2025,RB521,DAM/DOH,156 \ 6,0,2,1,159
08/11/2025,RB502,SHJ/DAM,39 \ 0,0,1,2,35
08/11/2025,RB522,DOH/DAM,24 \ 1,0,0,5,20
08/11/2025,RB445,ALP/IST,89 \ 2,0,0,4,87
08/11/2025,RB446,IST/DAM,60 \ 0,0,0,3,56
08/12/2025,RB515,DAM/DXB,111 \ 2,0,0,3,110
08/12/2025,RB341,DAM/KWI,2 \ 0,0,0,0,0
08/12/2025,RB516,DXB/DAM,75 \ 1,0,0,0,76
08/12/2025,RB503,DAM/AUH,159 \ 8,0,0,1,166
08/12/2025,RB501,DAM/SHJ,153 \ 6,0,0,1,158
08/12/2025,RB443,DAM/IST,139 \ 1,0,48,0,92
08/12/2025,RB504,AUH/DAM,70 \ 4,0,0,3,71
08/12/2025,RB502,SHJ/DAM,53 \ 1,0,0,1,53
08/12/2025,RB444,IST/DAM,92 \ 1,0,0,1,92
08/13/2025,RB505,DAM/SHJ,110 \ 3,0,0,0,113
08/13/2025,RB515,DAM/DXB,132 \ 8,0,0,0,140
08/13/2025,RB389,DAM/RUH,150 \ 3,0,0,2,151
08/13/2025,RB506,SHJ/DAM,69 \ 1,0,0,1,69
08/13/2025,RB390,RUH/DAM,46 \ 1,0,0,1,45
08/13/2025,RB516,DXB/DAM,87 \ 3,0,0,0,89
08/13/2025,RB521,DAM/DOH,152 \ 8,0,0,1,158
08/13/2025,RB501,DAM/SHJ,147 \ 6,0,0,1,152
08/13/2025,RB443,DAM/IST,85 \ 1,0,0,1,85
08/13/2025,RB522,DOH/DAM,97 \ 4,0,0,10,90
08/13/2025,RB502,SHJ/DAM,31 \ 1,0,0,2,30
08/13/2025,RB444,IST/DAM,117 \ 5,0,0,1,121
08/14/2025,RB505,DAM/SHJ,107 \ 7,0,0,0,114
08/14/2025,RB515,DAM/DXB,148 \ 5,0,0,1,152
08/14/2025,RB527,DAM/DMM,159 \ 4,0,0,0,163
08/14/2025,RB506,SHJ/DAM,74 \ 2,0,0,1,75
08/14/2025,RB528,DMM/DAM,60 \ 3,0,0,0,63
08/14/2025,RB516,DXB/DAM,56 \ 1,0,0,4,53
08/14/2025,RB381,DAM/JED,155 \ 4,0,0,1,158
08/14/2025,RB501,DAM/SHJ,149 \ 6,0,0,0,155
08/14/2025,RB341,DAM/KWI,145 \ 5,0,0,3,147
08/14/2025,RB382,JED/DAM,21 \ 0,0,0,0,21
08/14/2025,RB342,KWI/DAM,117 \ 7,0,0,1,123
08/14/2025,RB502,SHJ/DAM,32 \ 0,0,0,1,31
08/14/2025,RB445,DAM/IST,67 \ 1,0,0,0,68
08/14/2025,RB446,IST/DAM,72 \ 2,0,0,4,70
08/15/2025,RB505,DAM/SHJ,133 \ 5,0,0,0,138
08/15/2025,RB503,DAM/AUH,149 \ 7,0,0,3,153
08/15/2025,RB515,DAM/DXB,149 \ 7,0,0,0,156
08/15/2025,RB506,SHJ/DAM,92 \ 4,0,0,0,96
08/15/2025,RB504,AUH/DAM,91 \ 1,0,0,1,91
08/15/2025,RB516,DXB/DAM,115 \ 1,0,0,7,109
08/15/2025,RB501,DAM/SHJ,153 \ 6,0,0,0,158
08/15/2025,RB443,DAM/IST,122 \ 1,0,0,4,119
08/15/2025,RB389,DAM/RUH,161 \ 5,0,0,0,165
08/15/2025,RB502,SHJ/DAM,43 \ 2,0,0,8,37
08/15/2025,RB444,IST/DAM,141 \ 3,0,0,8,136
08/15/2025,RB390,RUH/DAM,36 \ 2,0,0,0,38
08/16/2025,RB505,DAM/SHJ,140 \ 6,0,0,0,146
08/16/2025,RB515,DAM/DXB,146 \ 3,0,0,1,148
08/16/2025,RB389,DAM/RUH,119 \ 5,0,0,0,0
08/16/2025,RB506,SHJ/DAM,68 \ 3,0,0,1,69
08/16/2025,RB390,RUH/DAM,12 \ 3,0,0,0,0
