,,RESERVATION BREAKDOWN,,,,,,
,,Summary Report,,,,,,
,,,,,,Report ID :,UC_REPM_001,
From Date,: 01/08/2025,,,,,Print Date :,30/08/2025,
To Date,: 30/08/2025,,,,,Print Time :,11.34.27,Zulu
Travel Agent ,Travel Agent Name,Fare(USD),Taxes(USD),Surcharges(USD),Total(USD),Refund(USD),To Detail,
DAM96,MASA,"9,300.20","2,271.65","6,225.00","17,796.85",0,Detail,
DAM26,MAWAKEB ALSHARQ,"4,353.95","1,471.98","4,545.00","10,370.93",449.57,Detail,
AUH9,MESBAR ALSAADAH,223,25.06,180,428.06,0,Detail,
DAM48,MOUNTAIN ROSE,"1,399.26",380.36,840,"2,619.62",0,Detail,
DXB15,NARJIS,350.9,113.73,450,914.63,0,Detail,
IST14,Nevada Turizm,"12,085.05","2,465.88","7,380.00","21,930.93",0,Detail,
AUH22,OK TRAVELS AND TOURISM LLC,40,74.14,240,354.14,0,Detail,
DAM69,ORFALI,"1,406.46",441.73,"1,380.00","3,228.19","2,414.58",Detail,
DXB11,PACK & GO TRAVEL TOURISM LLC,"3,521.91","1,709.53","6,801.75","12,033.19",0,Detail,
AUH3,PALM OASIS,"7,667.39","1,651.86","7,768.50","17,087.75",0,Detail,
DXB23,PALMYRADXB,262.04,288.83,945,"1,495.87",0,Detail,
SHJ12,PERFECT TRAVEL,330.9,111.21,360,802.11,0,Detail,
SHJ8,PETRA,"1,580.44",273.58,"1,200.00","3,054.02",0,Detail,
DXB58,PHOENIQ TRAVEL AGENCY LLC,"6,153.09","1,742.03","6,741.75","14,636.87",0,Detail,
SHJ11,Prive Creative Travel FZE,"1,092.25",171,960,"2,223.25",0,Detail,
KWI30,QGO,282.6,39,221.44,543.04,0,Detail,
DXB61,RAHLAT MOHTARIF TRAVEL AGENCY LLC,"2,231.33","1,078.75","3,801.75","7,111.83",0,Detail,
DXB43,RAMAT TRAVEL AND TOURISM DXB,"7,276.37","2,168.83","8,361.75","17,806.95",0,Detail,
QHM5,SAMA ALFARES,"3,014.36",846.72,"2,670.00","6,531.08",679.79,Detail,
QSW4,SAMA ALOPHOQ,756.55,173.8,510,"1,440.35",0,Detail,
AAN2,SAMA AUH,"2,426.00","1,029.08","4,536.75","7,991.83",0,Detail,
DXB49,SAMAALOPHOQ TRAVEL & TOURISM,922.5,576.37,"2,175.00","3,673.87",0,Detail,
AUH26,SATGURU TRAVEL,92.9,62.13,240,395.03,0,Detail,
DAM87,SHAM WATFEH,"7,639.61","1,755.41","5,070.00","14,465.02",0,Detail,
DXB47,SHARIF HOUSE LLC- FZ,20,37.07,120,177.07,0,Detail,
DAM149,SHILAN TRAVEL,"28,642.17","7,202.56","21,450.00","57,294.73","2,429.09",Detail,
DAM119,SHURBAJI,"28,534.35","7,090.20","21,048.25","56,672.80",542.26,Detail,
DXB76,SKAZKA TOURISM & TRAVEL LLC,337.54,216.03,720,"1,273.57",0,Detail,
DXB53,SKY MASTER TRAVEL LLC,"8,170.88","3,435.67","11,685.00","23,291.55",0,Detail,
DAM77,SKY SYRIA,566.8,218.53,945,"1,730.33",0,Detail,
LTK5,SKYTRAVELUSD,"11,243.83","3,013.16","9,330.00","23,586.99",0,Detail,
DAM54,SUN LIGHT,"2,970.50",565.09,"1,710.00","5,245.59",0,Detail,
DXB71,SURIANA TOURS & TRAVEL LLC,"3,015.49","1,788.85","6,921.75","11,726.09",0,Detail,
DXB62,SWEN TOURISM,"1,994.78",570.14,"2,160.00","4,724.92",0,Detail,
DAM95,SYRIA LINK,"25,296.70","6,003.21","16,980.00","48,279.91","1,431.39",Detail,
DAM43,SYRIAN TRAVEL & TOURISM AGENCY,"119,363.70","29,150.29","80,568.25","229,082.24","8,384.69",Detail,
SHJ10,Sky Dreams LLC,589.3,376.75,"1,440.00","2,406.05",177.07,Detail,
LTK14,Sky travel,"1,750.80",364.51,"1,035.00","3,150.31",0,Detail,
DAM122,TAJ ALMASA,"32,921.81","8,605.02","22,770.00","64,296.83","2,375.37",Detail,
DAM29,TAJ ALSHAM,"3,493.80",593.06,"1,770.00","5,856.86","1,620.67",Detail,
DXB39,TAJ ALSHAM FOR TOURISM LLC DXB,"1,695.72",387.17,"1,686.75","3,769.64",0,Detail,
AUH6,TAJWAL,300,25.06,270,595.06,0,Detail,
IST18,TIO elsultan travel,"2,120.50",419.01,"1,260.00","3,799.51",0,Detail,
DXB25,TOMEH,"2,303.64","1,135.15","3,950.00","7,388.79",0,Detail,
DXB12,TRANSTOUR,"5,591.44","1,729.13","6,630.00","13,950.57",0,Detail,
IST15,Tuba,"6,853.50","1,477.41","4,890.00","13,220.91",229.8,Detail,
QAJ3,UGARIT,"5,725.64","1,690.25","6,000.00","13,415.89",357.85,Detail,
DXB8,UNITED TOURIST MANAGEMENT LLC,"4,956.52","2,207.38","8,781.75","15,945.65",0,Detail,
SHJ13,W T TOURISM AND TRAVL,"12,595.01","5,556.44","21,519.00","39,670.45",0,Detail,
DXB37,WAHET ALALMAS TRAVEL AGENCY,119.3,136.27,480,735.57,0,Detail,
DXB33,WL T TRAVEL AND TOURISM,"18,935.38","9,302.09","33,713.75","61,951.22",827.02,Detail,
DXB79,YARA DEEB TRAVEL AGENCY LLC,"1,967.27","1,237.85","5,130.00","8,335.12",0,Detail,
DAM102,YAS,"6,087.50","1,525.11","4,695.00","12,307.61",246.71,Detail,
DXB63,ZANOBIA TOURISM,"6,542.53",899.67,"4,170.00","11,612.20",0,Detail,
LTK6,ZOUHAL TRAVEL,"2,907.48",605.56,"1,890.00","5,403.04",0,Detail,
IST20,abu rass,"1,744.00",438.6,"1,275.00","3,457.60",0,Detail,
DAM196,advanced usd,"1,695.70",443.22,"1,200.00","3,338.92",0,Detail,
IST12,airshad,"15,762.55","3,296.07","10,155.00","29,213.62",0,Detail,
DXB80,ajnihat alwalid travel and tourism,796.6,300.12,"1,290.00","2,386.72",0,Detail,
DAM188,aldawlyusd,"3,277.73",867.9,"2,655.00","6,800.63","1,153.36",Detail,
DAM201,alshaheen usd,460.6,160.44,450,"1,071.04",0,Detail,
LTK13,altabba usd,638.25,253.22,870,"1,761.47",0,Detail,
IST11,art of travel,"33,128.45","6,703.35","20,670.00","60,501.80",0,Detail,
DAM198,aslan usd,"2,528.56",576.83,"1,680.00","4,785.39",307.84,Detail,
DAM197,babylon usd,128,28.18,75,231.18,0,Detail,
IST17,bon voyage,"3,285.30",713.96,"2,100.00","6,099.26",467.5,Detail,
IST6,emir istanbul,"20,830.40","4,893.55","15,135.00","40,858.95",0,Detail,
AUH34,enigma fot travel,"4,544.09",980.21,"3,540.00","9,064.30",0,Detail,
IST2,esb travel,759,174.27,525,"1,458.27",0,Detail,
IST7,experts,"14,796.30","3,201.89","9,540.00","27,538.19",339.6,Detail,
DAM192,gilgamesh diamond,"6,186.69","1,542.80","4,620.00","12,349.49",0,Detail,
DAM202,gilgamish diamond usd,"2,761.21",640.83,"1,725.00","5,127.04",0,Detail,
IST5,hamdan group,"14,648.55","3,149.58","9,255.00","27,053.13",0,Detail,
IST4,ila tourism,448.9,101.09,360,909.99,229.8,Detail,
DAM199,jabri,"7,091.56","1,777.68","4,935.00","13,804.24",422.37,Detail,
DAM200,jabri usd,"6,953.06","1,898.72","5,625.00","14,476.78",0,Detail,
IST8,kral,"4,930.50",971.89,"2,805.00","8,707.39",0,Detail,
DAM189,mawakeb alsharq usd,"4,214.23","1,059.22","2,985.00","8,258.45",427.55,Detail,
IST3,moto tour,"4,173.95",923.79,"3,015.00","8,112.74",169.8,Detail,
IST10,nusuk,"6,883.10","1,412.67","4,395.00","12,690.77",0,Detail,
AUH35,options holidays,266,174.98,660,"1,100.98",0,Detail,
DAM187,orfali usd,"5,096.98","1,564.87","4,230.00","10,891.85",261.2,Detail,
IST1,road makers travel tourism,"6,188.50","1,318.81","3,825.00","11,332.31",0,Detail,
DAM195,shilan usd,"1,804.69",401.66,"1,050.00","3,256.35",221.66,Detail,
DXB81,sunchaser travel,"2,124.70",928.61,"3,105.00","6,158.31",0,Detail,
DAM190,syria link usd,"35,589.27","8,960.04","26,196.75","70,746.06","1,890.22",Detail,
DAM186,syrian travel &touriisim usd,"94,053.15","22,881.99","66,501.50","183,436.64","10,497.72",Detail,
DAM194,taj almasa usd,"17,626.20","4,149.33","11,595.00","33,370.53","1,424.50",Detail,
DXB83,tariq alkaiser travel,"1,187.52",353.76,"1,575.00","3,116.28",0,Detail,
IST16,top torch,"2,279.65",490.2,"1,425.00","4,194.85",0,Detail,
IST9,uranus,"13,806.65","2,909.55","8,640.00","25,356.20",159.8,Detail,
DAM207,world link usd,"1,517.98",344.12,915,"2,777.10",0,Detail,
DAM193,yas usd,"6,436.28","1,441.35","4,170.00","12,047.63",0,Detail,
KWI13,ALMALEK ALDAARI,"45,928.41","10,513.01","38,423.70","94,865.12",872.4,Detail,
ALP4,ALMALLA,"3,778.15",840.3,"2,400.00","7,018.45",0,Detail,
