,TOP AGENTS,,,,
,Summary Report,,,,
Segment  ,: /,,Report ID :,UC_REPM_01,
From Date ,: 01/08/2025,,Print Date :,27/08/2025,
To Date ,: 25/08/2025,,Print Time :,14.59.48,Zulu
"Agent code
","Agent Name
",Number of ,Revenue (USD),"Yield
",Discount 
AUH22,OK TRAVELS AND TOURISM LLC,2,280.00,140.00,0.00
DXB46,DAR AL ZAIN TRAVEL AND TOURISM,2,280.00,140.00,0.00
HSK2,AKAD TRAVEL HASAKEH,1,278.00,278.00,0.00
AUH32,FIVE G travel,1,254.00,254.00,0.00
ALP10,ALASAAD,1,232.00,232.00,0.00
SHJ12,PERFECT TRAVEL,1,230.30,230.30,0.00
QDR8,ALMANASEK,1,218.00,218.00,0.00
DAM197,babylon usd,1,203.00,203.00,0.00
QHM7,ASAL,1,194.00,194.00,0.00
DEZ4,ATIEA,1,194.00,194.00,0.00
DXB47,SHARIF HOUSE LLC- FZ,1,140.00,140.00,0.00
DXB32,Dubai link tours,1,140.00,140.00,0.00
DXB73,ARABIAN STAR TOURS LLCDXB,1,140.00,140.00,0.00
Syrian Air ,,,,Page 1 of ,1
*** End of Report ***,,,,,
